Station,Route,Lanes,Months Used,Count Date,Direction,Class 1,Class 2,Class 3,Class 4,Class 5,Class 6,Class 7,Class 8,Class 9,Class 10,Class 11,Class 12,Class 13,Latitude,Longitude,Location 1,NYS Municipal Boundaries,New York Zip Codes,Counties
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/31/2013,NORTH,49,12701,2240,32,432,207,10,26,174,5,0,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/31/2013,SOUTH,81,13894,2254,26,398,229,15,32,165,1,2,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/30/2013,SOUTH,77,13466,2900,34,484,299,20,38,198,15,0,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/30/2013,NORTH,49,12140,2617,28,493,196,21,49,205,6,3,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/27/2013,NORTH,63,12242,2342,40,446,237,26,37,177,14,1,2,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/27/2013,SOUTH,60,13043,2501,32,461,301,15,29,186,4,1,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/26/2013,SOUTH,49,11378,2283,27,409,234,9,24,169,6,0,1,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/26/2013,NORTH,73,10453,2104,25,408,187,11,28,175,5,3,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/25/2013,SOUTH,21,7289,389,24,39,15,1,3,35,0,0,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/25/2013,NORTH,12,6960,497,26,46,9,1,4,50,0,0,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/24/2013,NORTH,48,11876,2092,23,361,166,7,21,133,2,5,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/24/2013,SOUTH,64,13888,2200,37,360,189,8,32,115,0,1,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/23/2013,NORTH,51,12773,2769,27,503,214,26,42,201,8,3,0,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/23/2013,SOUTH,59,15768,3126,35,519,294,16,56,211,8,3,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/20/2013,NORTH,69,15245,3197,39,607,225,19,47,206,9,8,3,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/20/2013,SOUTH,107,17430,3521,45,605,335,19,52,208,8,3,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/19/2013,NORTH,109,14730,3266,38,592,297,37,56,242,16,12,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/19/2013,SOUTH,109,16272,3563,38,678,353,25,51,248,18,6,2,5,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/18/2013,SOUTH,81,15916,3496,43,688,303,27,59,242,5,8,1,5,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/18/2013,NORTH,70,13815,3166,37,614,227,25,56,244,3,10,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/17/2013,SOUTH,89,11865,3121,23,680,321,17,55,221,7,2,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/17/2013,NORTH,67,11580,2772,44,641,238,18,51,207,6,5,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/16/2013,NORTH,78,12982,3034,39,673,240,23,55,237,6,7,2,10,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/16/2013,SOUTH,104,14168,3323,40,684,313,31,55,221,2,5,2,4,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/13/2013,NORTH,77,14845,3179,35,625,313,28,42,212,4,6,1,5,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/13/2013,SOUTH,119,15686,3436,40,696,344,17,49,256,9,5,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/12/2013,SOUTH,103,15068,3545,28,697,303,20,63,247,5,6,1,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/12/2013,NORTH,68,13975,3170,37,605,250,18,45,246,8,6,1,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/11/2013,SOUTH,129,15074,3560,38,684,361,28,72,248,15,6,2,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/11/2013,NORTH,61,13434,3213,35,601,234,33,43,221,9,5,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/10/2013,NORTH,48,11893,2864,25,602,230,25,52,216,8,4,3,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/10/2013,SOUTH,74,13452,3151,16,635,315,19,58,205,2,6,0,2,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/09/2013,SOUTH,89,14604,3260,30,606,283,12,49,224,13,3,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/09/2013,NORTH,55,12623,3015,38,595,207,14,40,230,7,5,2,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/06/2013,SOUTH,93,16679,3442,39,640,344,19,53,230,5,1,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/06/2013,NORTH,70,14125,3051,36,573,283,35,58,213,10,5,3,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/05/2013,SOUTH,115,17102,3739,36,648,316,29,70,227,10,8,2,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/05/2013,NORTH,101,13976,3247,31,609,285,25,55,233,13,8,2,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/04/2013,SOUTH,114,15850,3681,30,645,372,55,58,222,7,9,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/04/2013,NORTH,106,13315,3103,33,585,322,47,50,240,16,5,1,6,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/03/2013,NORTH,91,12978,3207,31,597,295,37,64,253,10,8,1,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/03/2013,SOUTH,108,15376,3601,39,626,385,27,59,238,10,6,1,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/02/2013,SOUTH,87,14513,3414,37,604,327,32,62,223,5,8,0,5,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",12/02/2013,NORTH,67,12764,3088,31,593,244,33,47,208,7,3,0,3,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/29/2013,NORTH,46,10095,1753,23,246,147,12,20,159,2,2,1,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/29/2013,SOUTH,75,11738,1891,28,278,168,12,19,149,2,0,0,1,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
280,McGUINNESS BLVD,4,"Apr-Jun, Nov-Dec",11/28/2013,NORTH,24,8844,764,17,72,30,1,6,86,0,0,0,0,40.72549,-73.9488,"(40.72549, -73.9488)",894,901,2090
